primary_type,community_area,count
MOTOR VEHICLE THEFT,3,3295
NARCOTICS,3,10737
NON-CRIMINAL,3,5
OBSCENITY,3,11
OFFENSE INVOLVING CHILDREN,3,562
OTHER NARCOTIC VIOLATION,3,4
OTHER OFFENSE,3,6131
PROSTITUTION,3,797
PUBLIC INDECENCY,3,2
PUBLIC PEACE VIOLATION,3,883
ROBBERY,3,3033
SEX OFFENSE,3,756
STALKING,3,44
THEFT,3,24591
WEAPONS VIOLATION,3,556
ARSON,30,333
ASSAULT,30,8217
BATTERY,30,23870
BURGLARY,30,5018
CONCEALED CARRY LICENSE VIOLATION,30,17
CRIM SEXUAL ASSAULT,30,483
CRIMINAL DAMAGE,30,13795
CRIMINAL SEXUAL ASSAULT,30,95
CRIMINAL TRESPASS,30,1772
DECEPTIVE PRACTICE,30,2921
GAMBLING,30,43
HOMICIDE,30,306
INTERFERENCE WITH PUBLIC OFFICER,30,247
INTIMIDATION,30,156
KIDNAPPING,30,103
LIQUOR LAW VIOLATION,30,777
MOTOR VEHICLE THEFT,30,7230
NARCOTICS,30,9369
NON - CRIMINAL,30,1
NON-CRIMINAL,30,4
OBSCENITY,30,12
OFFENSE INVOLVING CHILDREN,30,1260
OTHER NARCOTIC VIOLATION,30,1
OTHER OFFENSE,30,9012
PROSTITUTION,30,1251
PUBLIC INDECENCY,30,5
PUBLIC PEACE VIOLATION,30,2574
ROBBERY,30,4717
SEX OFFENSE,30,692
STALKING,30,69
THEFT,30,19036
WEAPONS VIOLATION,30,2226
ARSON,31,152
ASSAULT,31,5010
BATTERY,31,11914
BURGLARY,31,3165
CONCEALED CARRY LICENSE VIOLATION,31,7
CRIM SEXUAL ASSAULT,31,224
CRIMINAL DAMAGE,31,9348
CRIMINAL SEXUAL ASSAULT,31,58
CRIMINAL TRESPASS,31,1595
DECEPTIVE PRACTICE,31,2388
GAMBLING,31,9
HOMICIDE,31,128
INTERFERENCE WITH PUBLIC OFFICER,31,110
INTIMIDATION,31,53
KIDNAPPING,31,40
LIQUOR LAW VIOLATION,31,376
MOTOR VEHICLE THEFT,31,4017
